"Protein_name"	"RT_start"	"RT_stop"	"MW"	"delta_MW"	"MW_min"	"MW_max"	"Sum_intensities"	"Prop_sum_intensities"	"Point_count"	"Percentage_top_signal_considered"
"a1"	16.36	17.82	27310	1	27309	27311	1083630000	0.0365695992742978	56	20
"a2"	14.75	21.04	25808	1	25807	25809	3172490000	0.107063008593078	143	20
"a3"	19.53	21.55	29393	1	29392	29394	644920000	0.0217643162001607	53	20
"a4"	15.64	18.21	27796	1	27795	27797	1503610000	0.0507427952020772	84	20
"a5"	20.75	25.02	26451	1	26450	26452	1769070000	0.0597013565406846	98	20
"a6"	13.63	15.7	29596	1	29595	29597	2690420000	0.0907944420877572	74	20
"a7"	18	19.74	28422	1	28421	28423	291780000	0.00984679058004542	34	20
"b1"	15.91	19.81	21903	1	21902	21904	2341530000	0.0790203425419622	127	20
"b2"	13.79	14.54	25293	1	25292	25294	148650000	0.00501653787005193	16	20
"b3"	19.91	22.06	22858	1	22857	22859	1043110000	0.0352021582080718	59	20
"b4"	17.51	19.81	22877	1	22876	22878	2315720000	0.0781493244294426	93	20
"b5"	13.71	14.41	22456	1	22455	22457	242690000	0.00819013505336631	14	20
"b6"	15.17	23.08	23548	1	23547	23549	3418460000	0.115363834828508	239	20
"b7"	15.73	17.6	24390	1	24389	24391	1154120000	0.0389484472693194	49	20
